Date,Year,Aircraft,Crash location,Total fatalities,Primary Weather,Matched Keywords,Circumstances
1919-08-11,1919,Felixstowe F.4 Fury,Felixstowe Suffolk,1,Snow/Ice,ice,"The five engine seaplane was prepared at Felixstowe for its long trip to South Africa the next day. A last local test flight was scheduled out from Felixstowe with seven crew members on board. Shortly after takeoff, while climbing at a speed of 145 km/h, the aircraft stalled and crashed in the sea some 500 metres offshore. Six crew members were rescued while the seventh was killed. The aircraft was supposed to leave Felixstowe on August 12 on a trip to Durban via Gibraltar, Malta, Alexandria, Khartoum, Victoria Nyanza, Lake Tanganyika, Lake Nyassa and Beira. Crew: Col T. S. M. Fellowes, Office in charge, Maj Edwin Roland Moon, pilot, Cpt C. L. Scott, pilot, Lt J. F. Armitt, chief engineer, Lt S. E. S. McLeod, wireless operator, † W/O J. G. Cockburn, mechanic, W/O H. S. Locker, mechanic."
1919-08-20,1919,De Havilland DH.4,Tijuana-General Abelardo L. Rodríguez Baja California,0,Rain,rain,"The pilot, sole on board, was performing a training flight at the border between US and Mexico. In flight, the engine failed and the pilot was forced to attempte an emergency landing near Tijuana, Baja California, Mexico. The pilot was uninjured and the aircraft was damaged beyond repair."
1919-08-30,1919,Avro 536,Manston Kent,0,Storm/Wind,wind,"Just after liftoff from Manston Airfield, while climbing at low height, the aircraft was caught by strong crosswinds, lost height and crashed. All three occupants were injured. Crew: Cpt D. Deighton. Passengers: Mr. M. Elliott, Mr. Eric Davis."
1919-09-01,1919,Avro 504,Weston-super-Mare Somerset,0,Rain,rain,"The pilot, sole on board, was completing a local training flight in Weston-super-Mare. The aircraft crashed on approach and was destroyed. The pilot was injured."
1919-10-05,1919,Avro 504,Alderney Channel Islands,1,Fog/Cloud,fog,"The pilot, sole on board, was performing a cargo flight to Guernsey. While flying over The Channel in foggy conditions, the airplane crashed in the sea off Alderney Island. The pilot was killed."
1919-10-14,1919,Curtiss R-4LM,Catonsville Maryland,1,Fog/Cloud,"fog, visibility","En route, the pilot encountered poor visibility due to foggy conditions. Too low, the aircraft hit tree tops and crashed in a wooded area located in Catonsville, about 10 km north of the Baltimore Airport. The pilot Lyman W. Doty was killed."
1919-10-16,1919,De Havilland DH.4,Macungie Pennsylvania,0,Fog/Cloud,cloud,"En route, the pilot encountered poor weather conditions. While flying under clouds, the airplane impact trees and crashed. Crew fate unknown."
1919-10-20,1919,De Havilland DH.4,Folkestone Kent,0,Fog/Cloud,"fog, visibility","The pilot, Major-General Edward James Montagu-Stuart-Wortley, was returning to Croydon following an exhibition in Interlaken, Switzerland. After a fuel stop in Paris-Le Bourget, he continued to his base in Croydon. While overflying The Channel and approaching the British coast, he encountered foggy conditions and the visibility was low. Eventually, the aircraft crashed in the sea off Folkestone, Kent. The pilot was rescued while the aircraft was lost."
1919-10-29,1919,De Havilland DH.4,Fort Sill-Henry Post Field AFB Oklahoma,0,Rain,rain,The aircraft crashed on landing at Fort Sill-Henry Post Field AFB while completing a local training mission. Crew fate unknown.
1919-12-08,1919,Blackburn R.T.1 Kangaroo,Chania Crete / <U+039A><U+03C1><U+03AE>t<U+03B7>,0,Snow/Ice,ice,"In November, the Australian government offered a price of 10,000 dollars to any Australian airmen who will be able to fly from England to Australia within 30 days. The crew departed Hounslow Heath Airport (some 3 km southeast of Heathrow) on 21NOV1919. While overflying the island of Crete, in Greece, the crew encountered engine problems and elected to make an emergency landing in an open field located near Suda, east of Chania. The aircraft impacted ground and came to rest against a stonewall. All three occupants escaped uninjured while the aircraft was damaged beyond repair and abandoned."
1919-12-09,1919,Martinsyde Type A,Kerkyra Ionian Islands / <U+0399><U+03CC><U+03BD><U+03B9>a <U+03BD><U+03B7>s<U+03B9><U+03AC>,2,Snow/Ice,ice,"In November, the Australian government offered a price of 10,000 dollars to any Australian airmen who will be able to fly from England to Australia within 30 days. The crew departed Hounslow Heath Airport (some 3 km southeast of Heathrow) on 12DEC1919. While approaching Kerkyra, Greece, the aircraft crashed in unknown circumstances in the sea, killing both pilots."
1920-01-12,1920,De Havilland DH.4,Weikert Pennsylvania,0,Rain,rain,"While flying over mountainous terrain, the engine failed. The pilot attempted to make an emergency landing when the aircraft impacted trees and crashed in a wooded area. Crew fate unknown."
1920-03-10,1920,De Havilland DH.4,New Paris Indiana,1,Fog/Cloud,"fog, visibility","The pilot, sole on board, was completing a mail flight. En route, weather conditions worsened and visibility was poor due to fog. The pilot reduced his altitude in an attempt to maintain a visual contact with the ground when the aircraft contacted trees and crashed in a wooded area. The aircraft was destroyed and the pilot C. W. Stoner was killed."
1920-03-18,1920,De Havilland DH.16,Eastbourne East Sussex,0,Fog/Cloud,"fog, visibility","Thew pilot was performing a mail flight from Paris-Le Bourget to Hounslow Heath. While overflying the Channel, he encountered low visibility due to fog and his compass failed. He sighted a boat (SS Selarus) and circled around it to attract attention. Eventually, he ditched the aircraft off the Beachy Head coast, near Eastbourne. He was quickly rescued by the crew of the boat and the aircraft was lost."
1920-04-22,1920,De Havilland DH.4,Gorton Pennsylvania,0,Rain,rain,"Few minutes after takeoff from Bellefonte, the pilot encountered engine problems. He attempted an emergency landing when the aircraft crashed in a hilly terrain located north of Bellefonte. The pilot was injured and the aircraft was destroyed."
1920-04-27,1920,Nieuport-Delage NiD-30,The Channel All World,1,Fog/Cloud,fog,"The pilot, sole on board, departed Paris-Le Bourget on a mail flight to Hounslow Heath, London. While cruising over The Channel, he encountered thick fog when the airplane crashed in the sea in unknown circumstances. The pilot was killed."
1920-04-29,1920,Farman F.40,Barranquilla Atlántico,1,Storm/Wind,wind,"The aircraft was performing a local flight with three passengers and one pilot on board. Shortly after takeoff, while climbing to a height of about 100 metres, the aircraft was caught by a strong wind, rolled to the left and hit the ground. While all three passengers were seriously injured, the pilot was killed. They were completing their first flight. Crew: Jacques Jourdanet, pilot. Passengers: Mrs. Pepa Restrepo de Vásquez and her both sons."
1920-04-29,1920,Felixstowe F.5,Felixstowe Suffolk,4,Rain,rain,"The crew departed Felixstowe on a training mission on behalf of the 230th Squadron. Shortly after takeoff, the seaplane stalled and crashed in the sea few hundred metres offshore. Two crew members were rescued while four others were killed. Crew: S/L Edwin Roland Moon, † F/O Albert John Fyfield, † Sub-Lt Guiltherine J. Da Fonseca, † AC2 Gerald Tipping Bass, † F/Lt Charles Oscar Modin, F/O Louis Henry Pakenham-Walsh."
1920-04-30,1920,Avro 504,Joyce Green (Dartford) Kent,0,Rain,rain,"The pilot was performing a training flight from Joyce Green Airport, in Dartford, Kent, to Brooklands Airport, Weybridge, Surrey. Shortly after take off, he lost control of the aircraft that crashed in a field. While the pilot was injured, the aircraft was destroyed."
1920-05-12,1920,De Havilland DH.4,Oskaloosa Iowa,1,Fog/Cloud,fog,"En route from Omaha to Iowa City, weather conditions worsened with thick fog. The pilot lost his orientation and attempted an emergency landing when the aircraft crashed in a field. While the pilot was seriously injured, the passenger was killed."
1920-06-10,1920,De Havilland DH.16,Swanley Junction London Metropolis,0,Rain,rain,"The pilot, Captain Bayliss, was performing a regular schedule flight from Paris-Le Bourget to Croydon. En route, south of Maidstone, Kent, he encountered technical problems and made an emergency landing in a field located in Marden. All four passengers disembarked and continued their trip to London by train. During the day, the airplane was repaired and took off again in the evening to Croydon, this time with three passengers on board, the farmer (owner of the field where the pilot completed the emergency landing), his wife and a friend. While cruising south of Dartford in twilight, the pilot encountered engine trouble and elected to make another emergency landing. He reduced his altitude and elected to land in Swanley Junction. Upon landing in a cornfield, the aircraft crashed and came to rest upside down. The pilot and two passengers were slightly injured while another passenger (Mrs Madeline Day), was seriously injured. She died one year later at the age of 28 from kidney failure which the coroner concluded at the inquest, was directly attributable to the accident."
1920-06-30,1920,Handley Page H.P.12,Östanå Skåne,0,Fog/Cloud,"cloud, wind","At 06.50 pm the Handley Page O/400, G-EAKE, departed for the last time from Kjeller and despite the strong winds it climbed to its cruising altitude at 2,440 metres (8,000 feet). The average speed that day was 100 kmh. Donovan explained Mrs Meisterlin under the first leg of the trip how they would fly to Karlstad and Stockholm. They crossed the Norwegian-Swedish border at 7.35 pm and Arvika at 7.55 pm. The clouds were by now getting thicker and at 8.25 pm they flew above Karlstad in 1,000 metres. They looked for Hallvard Næss and his Norman Thompson N.T.2B flying boat N-13, but in vein. He was delayed. At 9 pm they cross a landscape with thousands of tree and no possibility for an emergency landing. By now it was dark and only the fire coming from the exhaust pipe lighted up the sky. At 9.50 pm they flew above the large lake Mälaren and could enjoy a beautiful view. Donovan said, “Thumbs up – Stockholm!”, when at 11.20 pm a large city was in sight. But instead of going down, the Handley Page O/400 continued in the eastern direction and ended up above the lovely archipelago north of Stockholm. They started to fly around in circles and Donovan said, “I think they have lost themselves”. It was now decided to find as soon as possible a suitable landing site and finally the crew found a field that looked good enough. They flew in low altitude above houses and fields and finally land safely in a cornfield. Sergeant Rogers thought that the field was a regular meadow, but it turned out to be a cornfield. The aircraft suffered no damages. The following day the crew together Captain Meisterlin returned to the field where sergeant Rogers the night before had landed. The aircraft looked undamaged and therefore it was decided to start that day and proceed to Stockholm and the original landing site at Häsgerstalund. The owner of the manor gathered some local workers, who would help plough a lane through the cornfield. The lane was 5 metres wide and 300 metres long. At 3 pm the “runway” was ready and crew and passengers boarded the plane after thanking the hosts for the hospitality. Rogers switched on the engines and slowly the aircraft started on its take-off. It was however soon clear that the lane was not wide enough and that the two metres high corn touched the wings making the aircraft unstable. Sergeant Rogers tried to keep the aircraft straight, failed to do so and instead he tried to lift the aircraft from the field. By now the corn had twisted itself into the undercarriage and the aircraft crashed on its noose, tipping nearly completely around. Some were thrown out of the aircraft, while others were trapped into the fuselage. After the crash Sergeant Rogers shouted to turn off the petrol in order to avoid fire. Lieutenant Gottenborg managed to get out of the aircraft and ran to Captain Meisterlin, Donovan and Sergeant Rogers in order to free them. Donovan was the one with the worst injuries. He had burns in his face and on its hands and was in great pain. He managed to get out by himself. To get out Captain Meisterlin and Sergeant Rogers from the wreckage help was needed from the local workers. Sergeant Rogers’s leg injury (from the motor cycle accident in Norway) had worsened and he and Donovan were taken by stretcher to the ambulance and driven to the hospital in Östanå. Fortunately Dr. Nicolaysen was not hurt and could offer first aid. Mrs Meisterlin and Lieutenant Gottenborg were all unhurt and the journalist Qviller had broken his arm. Finally, the aircraft was now a total wreck and was damaged beyond repair. The flight to Stockholm and København was subsequently cancelled. Crew: Sergeant W. Rogers, pilot Mr. Donovan, mechanic. Observers: Captain Wilhelm Meisterlin and Lieutenant Brynjulf Gottenborg. Passengers: Dr. Nicolaysen, Mrs Astrid Meisterlin Mr. Haakon Qviller, journalist by the Norwegian newspaper Aftenposten. Source: Rob Mulder - www.europeanairlines.no"
1920-07-01,1920,Avro 504,Kalijati West Java,0,Rain,rain,"Following a local training mission, the pilot was returning to Kalijati Airfield when, upon landing, the airplane crashed and came to rest upside down. The pilot escaped uninjured and the aircraft was damaged beyond repair."
1920-07-12,1920,Supermarine Channel I/II,Horten Vestfold,0,Storm/Wind,wind,"Shortly after takeoff from the Horten Bay, the aircraft stalled while turning at low height and crashed in the sea. All three occupants were rescued while the aircraft sank. The crew was performing the first mail flight from Horten to Kristiana, Oslo. According to Norwegian authorities, high winds blew at the time of the accident. Crew: Lt Sven Brun. Passengers: Mr. Hiorth, postman, Leif Sinding, journalist at the Norwegian newspaper 'Morgenbladet'."
1920-07-12,1920,De Havilland DH.9,Kenley AFB Surrey,2,Rain,rain,"The crew was completing a local training flight at RAF Kenley. Shorty after takeoff, while climbing, the airplane entered an uncontrolled descent and crashed, bursting into flames. Both crew members were killed. Crew: F/O Victor Oliver Reynolds, AC2 Percy Braithwaite."
1920-08-07,1920,Avro 504,Bournemouth-Ensbury Park Dorset,0,Rain,rain,"The pilot, sole on board, departed Bournemouth-Ensbury Park Aerodrome at 1945LT on a local training flight. About an hour later, while approaching the airfield, he lost control of the airplane that crashed in a field. The aircraft was damaged beyond repair and the pilot Robert Osmond Lindsay suffered a broken leg."
1920-08-12,1920,Avro 504,Camp Borden Ontario,0,Rain,rain,"The pilot, sole on board, was completing a local training flight at Camp Borden Airport. The airplane crashed on takeoff. The pilot was rescued."
1920-08-16,1920,De Havilland DH.4,College Park Maryland,1,Rain,"rain, icing","The piot, sole on board, was completing a local training flight at College Park Aerodrome, practicing landings. Just after the third takeoff, the right lower wing impacted a wireless tower. The aircraft entered a dive and crashed, bursting into flames. The pilot Robert Gautier was killed."
1920-09-27,1920,De Havilland DH.4,Millersburg Pennsylvania,1,Fog/Cloud,"fog, visibility","En route from Hazlehurst to Bellefonte, the pilot encountered poor visibility due to foggy conditions. He reduced his altitude to maintain a visual contact with the ground when the aircraft collided with power cables and crashed in the Susquehanna River off Millersburg. The aircraft was destroyed and the pilot F. A. Robinson was killed."
1920-10-16,1920,De Havilland DH.4,Batavia Illinois,1,Fog/Cloud,"fog, visibility","En route from Checkerboard Field (Chicago) to Omaha, the pilot encountered poor visibility due to foggy conditions. While flying at low height, the airplane collided with telephone wires and crashed, bursting into flames. The pilot Bryan McMullen was killed."
1920-11-06,1920,De Havilland DH.4,Tie Siding Wyoming,1,Fog/Cloud,"fog, visibility","While cruising in poor visibility due to fog, the aircraft hit a mountain near Tie Siding, Wyoming. The pilot J. P. Woodward was killed."
1920-11-29,1920,Macchi M.9,Rio de Janeiro Rio de Janeiro,1,Rain,rain,"The pilot, sole on board, was completing a training flight when the seaplane crashed in the Bay of Guanabara off Rio de Janeiro. The pilot 2nd Lt Jayme Americano Freire was killed."
1920-12-30,1920,De Havilland DH.9,Rochester Ohio,0,Rain,rain,"The pilot, sole on board, departed Dayton-McCook Field on a training flight. En route, the engine failed, forcing the pilot to attempt an emergency landing. The aircraft crashed in an opend field located 2,5 miles north of Rochester, bursting into flames. The pilot was injured."
1921-01-14,1921,De Havilland DH.4,San Francisco California,0,Fog/Cloud,fog,"En route from Marina to Sacramento, while flying at an altitude of 2,000 over San Francisco in foggy conditions, the engine failed. The pilot elected to make an emergency landing and reduced his altitude when the airplane collided with the trolley wires and crashed in Gough Street, bursting into flames. The pilot escaped uninjured and the aircraft was destroyed by a post crash fire."
1921-01-25,1921,De Havilland DH.4,Folkestone Kent,1,Fog/Cloud,visibility,"The pilot Prosper Georges was performing a cargo flight from Croydon to Brussels on behalf of SNETA, the Syndicat National pour l'Étude du Transport Aérien. The aircraft departed Croydon Airport at 1343LT and continued towards the east. While approaching The Channel, the visibility dropped due to mist and the pilot decided to return. During the last turn, the aircraft hit a hill near the pub called 'The Valiant Sailor' and crashed. The pilot was seriously injured and died from his injuries three days later."
1921-02-08,1921,Avro 504,Kalijati West Java,1,Rain,rain,"The crew was completing a local training flight at Kalijati Airport. While passing over the airfield at an insufficient altitude, the airplane impacted the roof of a hangar and crashed. Both occupants were seriously injured and the pilo died from his injuries few hours later."
1921-02-18,1921,Junkers F.13,Lebork Pomeranian Voivodeship (Pomorskie),2,Snow/Ice,"snow, fog","The crew was performing a flight from Gdansk to Berlin. En route, weather conditions worsened with fog and snow falls. The pilot lost control of the airplane that crashed in a snow covered field located in Lebork, some 60 km northwest of Gdansk. The aircraft was destroyed and both occupants were killed. Crew: Emil Monz, pilot, Oskar Kretschmar, mechanic."
1921-02-18,1921,Aeromarine 40,Rio de Janeiro Rio de Janeiro,1,Rain,rain,"The crew was completing a local training flight in Rio de Janeiro when the seaplane crashed in unknown circumstances in the Guanabara Bay. Both pilots were seriously injured and the aircraft sank. Six days later, one of the crew member died from his injuries. Crew: 1st Lt Fernando Muniz Guimarães, † Lt Fernando Victor Amaral Savaget."
1921-02-20,1921,Avro 504,Barrie Ontario,0,Rain,"rain, ice","Lieutenant William Gordon was performing a training flight from Camp Borden to Toronto. Few minutes after takeoff, while proceeding to the east, he encountered engine problems and elected to make an emergency landing on the iced Lake Simcoe. Upon landing, the aircraft hit a ridge and came to rest with its undercarriage torn off. While the pilot was uninjured, the aircraft was damaged beyond repair."
1921-02-20,1921,De Havilland DH.9,Baghdad Baghdad (<U+0628><U+063A><U+062F><U+0627><U+062F>),0,Rain,rain,"The pilot, sole on board, was completing a local training flight in Baghdad. En route, the engine failed. The pilot elected to make an emergency landing when the aircraft crashed in the Tigre River, near the district of Karrada, in Baghdad. The pilot was injured and the aircraft was damaged beyond repair."
1921-02-23,1921,Salmson 2.A2,Montrichard Loir-et-Cher,1,Rain,rain,"The crew was performing a training flight on behalf of the 31st Aviation Observation Regiment. The aAccident occurred in unknown circumstances. While Lieutenant James was seriously injured, Lieutenant Serrant was killed."
1921-02-24,1921,Avro 504,Farnborough Hampshire,1,Rain,rain,"The crew was completing a local training flight at Farnborough Airport, Hampshire. On approach, the airplane went out of control and crashed in Cove, north of the airfield. One crew member was killed and the second was slightly injured. Crew: F/O William Leslie Gordon Spinney, † F/O Allan Hesketh."
1921-04-02,1921,Curtiss JN-4,Fort Sill-Henry Post Field AFB Oklahoma,0,Rain,rain,"The pilot, sole on board, was completing a local training flight at Fort Sill-Henry Post Field. The engine failed in-flight, forcing the pilot to attempt an emergency landing. The aircraft was damaged beyond repair and the pilot escaped uninjured."
1921-04-06,1921,Avro 504,Point Cook (Melbourne) Victoria,2,Rain,rain,"The crew was performing a training flight out from Point Cook. Shortly after takeoff, while climbing to an altitude of 500 feet, the aircraft dove into the ground and crashed, bursting into flames. One pilot was killed instantly while the second one died few hours later. This was the first accident involving an aircraft of the Royal Australian Air Force which was officially founded a week ago on March 31, 1921. Crew: Lt James Fryer-Smith, pilot Cpl Bertie W. Whicker, mechanic."
1921-04-08,1921,De Havilland DH.9,Al-Khidir Al-Muthanna (<U+0627><U+0644><U+0645><U+062B><U+0646><U+0649>),0,Rain,"rain, visibility, storm","On a flight from Basra to Baghdad, weather conditions deteriorared with poor visibility due to sandstorm. The pilot attempted an emergency landing when the aircraft crashed and came to rest upside down in a drainage ditch. Both occupants were injured. Crew: F/O H. W. Baggs. Passenger: Maj Gen W. E. Ironside."
1921-04-29,1921,De Havilland DH.4,Cleveland Ohio,1,Fog/Cloud,"fog, visibility","On approach to Cleveland, the pilot encountered poor visibility due to foggy conditions. The aircraft impacted a bridge over the Cuyahoga River and crashed on a railway road. The aircraft was destroyed and the pilot was killed."
1921-05-08,1921,Breguet 14,Alicante Valencian Community,1,Storm/Wind,storm,"While approaching Alicante, the pilot encountered stormy weather. He lost control of the airplane that crashed near El Campello, about 10 km northeast of Alicante. The aircraft was destroyed by a post crash fire and the pilot Marcel Stichter was killed."
1921-05-21,1921,Fokker F3,Hekelingen South Holland,0,Rain,rain,"While approaching Rotterdam Airport, the pilot was forced to attempt an emergency landing for unknown reasons. Upon landing in a field, the aircraft impacted a drainage ditch and came to rest upside down. All three occupants evacuated safely and the aircraft was damaged beyond repair. It was rebuilt with another MSN 1533 and same registration H-NABL."
